idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
0,4,4,0,0.857061,0.92303,0.475,4,0,0,1.0,4,0,0,1.0,4,0,0,1.0,3,1,1,0.75,2,2,2,0.5,1,3,3,0.25,1,3,3,0.25,0,4,4,0.0,0,4,4,0.0,0,4,4,0.0
1,28,21,7,0.722959,0.839206,0.440816,18,3,10,0.734694,17,4,11,0.693878,15,6,13,0.612245,14,7,14,0.571429,13,8,15,0.530612,11,10,17,0.44898,10,11,18,0.408163,6,15,22,0.244898,4,17,24,0.163265,0,21,28,0.0
2,15,27,12,0.564533,0.721663,0.557143,14,13,1,0.666667,14,13,1,0.666667,14,13,1,0.666667,13,14,2,0.619048,13,14,2,0.619048,13,14,2,0.619048,13,14,2,0.619048,12,15,3,0.571429,9,18,6,0.428571,2,25,13,0.095238
3,21,18,3,0.669408,0.801971,0.25641,9,9,12,0.461538,8,10,13,0.410256,7,11,14,0.358974,6,12,15,0.307692,5,13,16,0.25641,5,13,16,0.25641,4,14,17,0.205128,3,15,18,0.153846,2,16,19,0.102564,1,17,20,0.051282
4,11,10,1,0.574721,0.729934,0.685714,10,0,1,0.952381,10,0,1,0.952381,10,0,1,0.952381,10,0,1,0.952381,10,0,1,0.952381,10,0,1,0.952381,5,5,6,0.47619,4,6,7,0.380952,3,7,8,0.285714,0,10,11,0.0
5,47,53,6,0.545349,0.705794,0.536,40,13,7,0.8,38,15,9,0.76,37,16,10,0.74,36,17,11,0.72,34,19,13,0.68,31,22,16,0.62,23,30,24,0.46,18,35,29,0.36,10,43,37,0.2,1,52,46,0.02
6,68,67,1,0.639291,0.779961,0.345185,47,20,21,0.696296,45,22,23,0.666667,43,24,25,0.637037,39,28,29,0.577778,27,40,41,0.4,20,47,48,0.296296,9,58,59,0.133333,3,64,65,0.044444,0,67,68,0.0,0,67,68,0.0
7,28,24,4,0.748564,0.856204,0.719231,22,2,6,0.846154,22,2,6,0.846154,22,2,6,0.846154,22,2,6,0.846154,21,3,7,0.807692,21,3,7,0.807692,20,4,8,0.769231,18,6,10,0.692308,14,10,14,0.538462,5,19,23,0.192308
8,23,22,1,0.80509,0.892022,0.88,22,0,1,0.977778,22,0,1,0.977778,21,1,2,0.933333,21,1,2,0.933333,21,1,2,0.933333,21,1,2,0.933333,21,1,2,0.933333,20,2,3,0.888889,19,3,4,0.844444,10,12,13,0.444444
9,12,9,3,0.749074,0.856538,0.428571,7,2,5,0.666667,6,3,6,0.571429,6,3,6,0.571429,5,4,7,0.47619,5,4,7,0.47619,5,4,7,0.47619,5,4,7,0.47619,4,5,8,0.380952,2,7,10,0.190476,0,9,12,0.0
10,19,22,3,0.853253,0.920816,0.536585,17,5,2,0.829268,17,5,2,0.829268,16,6,3,0.780488,15,7,4,0.731707,15,7,4,0.731707,14,8,5,0.682927,11,11,8,0.536585,5,17,14,0.243902,0,22,19,0.0,0,22,19,0.0
11,4,6,2,0.583385,0.736883,0.52,3,3,1,0.6,3,3,1,0.6,3,3,1,0.6,3,3,1,0.6,3,3,1,0.6,3,3,1,0.6,3,3,1,0.6,3,3,1,0.6,2,4,2,0.4,0,6,4,0.0
12,28,26,2,0.494105,0.661406,0.288889,24,2,4,0.888889,22,4,6,0.814815,16,10,12,0.592593,10,16,18,0.37037,4,22,24,0.148148,2,24,26,0.074074,0,26,28,0.0,0,26,28,0.0,0,26,28,0.0,0,26,28,0.0
13,7,7,0,0.784846,0.879455,0.842857,7,0,0,1.0,7,0,0,1.0,7,0,0,1.0,7,0,0,1.0,7,0,0,1.0,7,0,0,1.0,6,1,1,0.857143,5,2,2,0.714286,5,2,2,0.714286,1,6,6,0.142857
14,10,9,1,0.623929,0.768419,0.831579,9,0,1,0.947368,9,0,1,0.947368,9,0,1,0.947368,9,0,1,0.947368,9,0,1,0.947368,9,0,1,0.947368,9,0,1,0.947368,9,0,1,0.947368,6,3,4,0.631579,1,8,9,0.105263
