idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
0,4,4,0,0.602439,0.751903,0.675,4,0,0,1.0,4,0,0,1.0,4,0,0,1.0,3,1,1,0.75,3,1,1,0.75,3,1,1,0.75,3,1,1,0.75,3,1,1,0.75,0,4,4,0.0,0,4,4,0.0
1,28,23,5,0.460835,0.63092,0.482353,18,5,10,0.705882,18,5,10,0.705882,15,8,13,0.588235,15,8,13,0.588235,15,8,13,0.588235,14,9,14,0.54902,13,10,15,0.509804,11,12,17,0.431373,4,19,24,0.156863,0,23,28,0.0
2,15,13,2,0.522349,0.686241,0.764286,13,0,2,0.928571,13,0,2,0.928571,13,0,2,0.928571,13,0,2,0.928571,13,0,2,0.928571,13,0,2,0.928571,13,0,2,0.928571,10,3,5,0.714286,6,7,9,0.428571,0,13,15,0.0
3,21,15,6,0.724214,0.840051,0.633333,14,1,7,0.777778,13,2,8,0.722222,13,2,8,0.722222,12,3,9,0.666667,12,3,9,0.666667,11,4,10,0.611111,11,4,10,0.611111,11,4,10,0.611111,11,4,10,0.611111,6,9,15,0.333333
4,11,10,1,0.386388,0.557403,0.609524,10,0,1,0.952381,10,0,1,0.952381,10,0,1,0.952381,10,0,1,0.952381,9,1,2,0.857143,7,3,4,0.666667,4,6,7,0.380952,3,7,8,0.285714,1,9,10,0.095238,0,10,11,0.0
5,47,45,2,0.349926,0.518438,0.671739,41,4,6,0.891304,41,4,6,0.891304,41,4,6,0.891304,39,6,8,0.847826,38,7,9,0.826087,37,8,10,0.804348,33,12,14,0.717391,28,17,19,0.608696,10,35,37,0.217391,1,44,46,0.021739
6,68,62,6,0.362292,0.531886,0.464615,51,11,17,0.784615,49,13,19,0.753846,47,15,21,0.723077,43,19,25,0.661538,38,24,30,0.584615,31,31,37,0.476923,20,42,48,0.307692,14,48,54,0.215385,7,55,61,0.107692,2,60,66,0.030769
7,28,25,3,0.643223,0.78288,0.818868,25,0,3,0.943396,25,0,3,0.943396,25,0,3,0.943396,25,0,3,0.943396,25,0,3,0.943396,25,0,3,0.943396,24,1,4,0.90566,22,3,6,0.830189,17,8,11,0.641509,4,21,24,0.150943
8,23,22,1,0.684647,0.812808,0.866667,22,0,1,0.977778,22,0,1,0.977778,21,1,2,0.933333,21,1,2,0.933333,21,1,2,0.933333,21,1,2,0.933333,20,2,3,0.888889,20,2,3,0.888889,20,2,3,0.888889,7,15,16,0.311111
9,12,8,4,0.707831,0.828924,0.65,8,0,4,0.8,8,0,4,0.8,8,0,4,0.8,8,0,4,0.8,7,1,5,0.7,7,1,5,0.7,7,1,5,0.7,7,1,5,0.7,4,4,8,0.4,1,7,11,0.1
