idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
3,9,8,1,0.530166,0.692952,0.658824,8,0,1,0.941176,8,0,1,0.941176,8,0,1,0.941176,8,0,1,0.941176,8,0,1,0.941176,7,1,2,0.823529,6,2,3,0.705882,2,6,7,0.235294,1,7,8,0.117647,0,8,9,0.0
4,65,63,2,0.641706,0.781755,0.440625,54,9,11,0.84375,53,10,12,0.828125,51,12,14,0.796875,45,18,20,0.703125,33,30,32,0.515625,26,37,39,0.40625,12,51,53,0.1875,6,57,59,0.09375,2,61,63,0.03125,0,63,65,0.0
5,18,16,2,0.787165,0.880909,0.741176,15,1,3,0.882353,15,1,3,0.882353,15,1,3,0.882353,14,2,4,0.823529,14,2,4,0.823529,14,2,4,0.823529,13,3,5,0.764706,13,3,5,0.764706,11,5,7,0.647059,2,14,16,0.117647
6,58,50,8,0.444016,0.614974,0.592593,45,5,13,0.833333,43,7,15,0.796296,43,7,15,0.796296,43,7,15,0.796296,39,11,19,0.722222,35,15,23,0.648148,32,18,26,0.592593,23,27,35,0.425926,15,35,43,0.277778,2,48,56,0.037037
7,11,11,0,0.565976,0.722841,0.645455,10,1,1,0.909091,10,1,1,0.909091,10,1,1,0.909091,9,2,2,0.818182,8,3,3,0.727273,8,3,3,0.727273,6,5,5,0.545455,6,5,5,0.545455,3,8,8,0.272727,1,10,10,0.090909
8,12,9,3,0.735865,0.847836,0.571429,9,0,3,0.857143,8,1,4,0.761905,8,1,4,0.761905,8,1,4,0.761905,8,1,4,0.761905,6,3,6,0.571429,5,4,7,0.47619,5,4,7,0.47619,3,6,9,0.285714,0,9,12,0.0
9,19,17,2,0.428391,0.599823,0.45,13,4,6,0.722222,13,4,6,0.722222,13,4,6,0.722222,12,5,7,0.666667,11,6,8,0.611111,9,8,10,0.5,7,10,12,0.388889,2,15,17,0.111111,1,16,18,0.055556,0,17,19,0.0
10,43,39,4,0.494114,0.661414,0.585366,35,4,8,0.853659,34,5,9,0.829268,34,5,9,0.829268,34,5,9,0.829268,32,7,11,0.780488,29,10,14,0.707317,25,14,18,0.609756,12,27,31,0.292683,4,35,39,0.097561,1,38,42,0.02439
11,7,5,2,0.655076,0.791596,0.633333,5,0,2,0.833333,5,0,2,0.833333,5,0,2,0.833333,5,0,2,0.833333,5,0,2,0.833333,5,0,2,0.833333,4,1,3,0.666667,3,2,4,0.5,1,4,6,0.166667,0,5,7,0.0
12,77,48,29,0.646309,0.785162,0.376,36,12,41,0.576,36,12,41,0.576,35,13,42,0.56,35,13,42,0.56,31,17,46,0.496,29,19,48,0.464,21,27,56,0.336,11,37,66,0.176,1,47,76,0.016,0,48,77,0.0
13,37,35,2,0.489166,0.656966,0.761111,35,0,2,0.972222,35,0,2,0.972222,35,0,2,0.972222,35,0,2,0.972222,35,0,2,0.972222,34,1,3,0.944444,30,5,7,0.833333,25,10,12,0.694444,9,26,28,0.25,1,34,36,0.027778
14,56,42,14,0.498018,0.664903,0.534694,39,3,17,0.795918,39,3,17,0.795918,39,3,17,0.795918,37,5,19,0.755102,33,9,23,0.673469,27,15,29,0.55102,25,17,31,0.510204,17,25,39,0.346939,6,36,50,0.122449,0,42,56,0.0
15,17,16,1,0.687202,0.814606,0.830303,16,0,1,0.969697,16,0,1,0.969697,16,0,1,0.969697,16,0,1,0.969697,16,0,1,0.969697,16,0,1,0.969697,15,1,2,0.909091,14,2,3,0.848485,11,5,6,0.666667,1,15,16,0.060606
16,9,7,2,0.814904,0.898014,0.675,7,0,2,0.875,6,1,3,0.75,6,1,3,0.75,6,1,3,0.75,6,1,3,0.75,6,1,3,0.75,5,2,4,0.625,5,2,4,0.625,5,2,4,0.625,2,5,7,0.25
17,21,16,5,0.531658,0.694226,0.502703,13,3,8,0.702703,13,3,8,0.702703,13,3,8,0.702703,12,4,9,0.648649,12,4,9,0.648649,11,5,10,0.594595,10,6,11,0.540541,6,10,15,0.324324,3,13,18,0.162162,0,16,21,0.0
18,51,48,3,0.414843,0.586415,0.456566,44,4,7,0.888889,43,5,8,0.868687,41,7,10,0.828283,37,11,14,0.747475,31,17,20,0.626263,23,25,28,0.464646,6,42,45,0.121212,1,47,50,0.020202,0,48,51,0.0,0,48,51,0.0
19,28,21,7,0.758162,0.862448,0.02449,4,17,24,0.163265,2,19,26,0.081633,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0
20,25,21,4,0.683479,0.811984,0.704348,20,1,5,0.869565,20,1,5,0.869565,20,1,5,0.869565,19,2,6,0.826087,19,2,6,0.826087,19,2,6,0.826087,18,3,7,0.782609,13,8,12,0.565217,11,10,14,0.478261,3,18,22,0.130435
21,40,37,3,0.457914,0.628177,0.371429,29,8,11,0.753247,27,10,13,0.701299,24,13,16,0.623377,22,15,18,0.571429,20,17,20,0.519481,14,23,26,0.363636,6,31,34,0.155844,1,36,39,0.025974,0,37,40,0.0,0,37,40,0.0
22,22,20,2,0.509974,0.675474,0.695238,20,0,2,0.952381,20,0,2,0.952381,20,0,2,0.952381,20,0,2,0.952381,20,0,2,0.952381,20,0,2,0.952381,18,2,4,0.857143,7,13,15,0.333333,1,19,21,0.047619,0,20,22,0.0
23,54,54,0,0.416827,0.588395,0.390741,50,4,4,0.925926,45,9,9,0.833333,43,11,11,0.796296,31,23,23,0.574074,23,31,31,0.425926,15,39,39,0.277778,4,50,50,0.074074,0,54,54,0.0,0,54,54,0.0,0,54,54,0.0
24,33,31,2,0.771662,0.871117,0.15625,11,20,22,0.34375,9,22,24,0.28125,9,22,24,0.28125,8,23,25,0.25,5,26,28,0.15625,5,26,28,0.15625,2,29,31,0.0625,1,30,32,0.03125,0,31,33,0.0,0,31,33,0.0
25,9,8,1,0.797379,0.887269,0.811765,8,0,1,0.941176,7,1,2,0.823529,7,1,2,0.823529,7,1,2,0.823529,7,1,2,0.823529,7,1,2,0.823529,7,1,2,0.823529,7,1,2,0.823529,7,1,2,0.823529,5,3,4,0.588235
26,14,13,1,0.458467,0.628698,0.459259,11,2,3,0.814815,10,3,4,0.740741,10,3,4,0.740741,9,4,5,0.666667,9,4,5,0.666667,9,4,5,0.666667,4,9,10,0.296296,0,13,14,0.0,0,13,14,0.0,0,13,14,0.0
27,73,63,10,0.356945,0.526101,0.580882,59,4,14,0.867647,59,4,14,0.867647,56,7,17,0.823529,53,10,20,0.779412,52,11,21,0.764706,48,15,25,0.705882,41,22,32,0.602941,22,41,51,0.323529,5,58,68,0.073529,0,63,73,0.0
28,8,11,3,0.459459,0.62963,0.368421,6,5,2,0.631579,6,5,2,0.631579,6,5,2,0.631579,6,5,2,0.631579,4,7,4,0.421053,4,7,4,0.421053,1,10,7,0.105263,1,10,7,0.105263,1,10,7,0.105263,0,11,8,0.0
29,4,4,0,0.890467,0.942061,0.225,2,2,2,0.5,2,2,2,0.5,1,3,3,0.25,1,3,3,0.25,1,3,3,0.25,1,3,3,0.25,1,3,3,0.25,0,4,4,0.0,0,4,4,0.0,0,4,4,0.0
30,12,14,2,0.619764,0.765252,0.223077,5,9,7,0.384615,5,9,7,0.384615,5,9,7,0.384615,5,9,7,0.384615,4,10,8,0.307692,3,11,9,0.230769,1,13,11,0.076923,1,13,11,0.076923,0,14,12,0.0,0,14,12,0.0
31,28,29,1,0.490892,0.658522,0.575439,23,6,5,0.807018,23,6,5,0.807018,23,6,5,0.807018,23,6,5,0.807018,22,7,6,0.77193,21,8,7,0.736842,16,13,12,0.561404,9,20,19,0.315789,3,26,25,0.105263,1,28,27,0.035088
32,4,4,0,0.834953,0.910054,0.35,3,1,1,0.75,2,2,2,0.5,2,2,2,0.5,2,2,2,0.5,2,2,2,0.5,1,3,3,0.25,1,3,3,0.25,1,3,3,0.25,0,4,4,0.0,0,4,4,0.0
33,27,27,0,0.577912,0.732502,0.544444,22,5,5,0.814815,22,5,5,0.814815,22,5,5,0.814815,20,7,7,0.740741,20,7,7,0.740741,17,10,10,0.62963,12,15,15,0.444444,8,19,19,0.296296,4,23,23,0.148148,0,27,27,0.0
