axis,config,label,seed,mAP,count_error,iou,dice
eixo1,eixo1_com_skips,Com Skips (U-Net padrão),42,0.4980994337541067,4.594059405940594,0.4554283525328051,0.6008091808844543
eixo1,eixo1_com_skips,Com Skips (U-Net padrão),123,0.45797486748914307,5.811881188118812,0.567727479755465,0.6985540983107696
eixo1,eixo1_sem_skips,Sem Skips (decoder simpl.),42,0.39960570326839906,8.425742574257425,0.3888839279744287,0.5357808590019253
eixo1,eixo1_sem_skips,Sem Skips (decoder simpl.),123,0.12206664288712708,14.099009900990099,0.2076676770406475,0.3165748287084893
eixo2,eixo2_gamma0,γ=0 (CE ponderada),42,0.38500418409169285,11.366336633663366,0.4238280529623808,0.5739652921198926
eixo2,eixo2_gamma0,γ=0 (CE ponderada),123,0.46211236500342967,5.841584158415841,0.570102518511976,0.7017140706318916
eixo2,eixo2_gamma1,γ=1,42,0.3827107161042476,4.297029702970297,0.43356046507655505,0.5885058874882398
eixo2,eixo2_gamma1,γ=1,123,0.518537405682632,5.554455445544554,0.5533636911595043,0.6882159600646899
eixo2,eixo2_gamma2,γ=2 (baseline Trilha A),42,0.411332359107921,5.158415841584159,0.4110162970402319,0.5655880451928545
eixo2,eixo2_gamma2,γ=2 (baseline Trilha A),123,0.41669698608552636,5.485148514851486,0.5386506087266582,0.6737132695639939
eixo2,eixo2_gamma5,γ=5,42,0.4967439390876483,8.673267326732674,0.39413099373660015,0.5430452360293146
eixo2,eixo2_gamma5,γ=5,123,0.33042899426109945,6.801980198019802,0.522154561415066,0.655803050838128
