idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
0,11,12,1,0.776834,0.874402,0.582609,11,1,0,0.956522,11,1,0,0.956522,11,1,0,0.956522,11,1,0,0.956522,10,2,1,0.869565,8,4,3,0.695652,5,7,6,0.434783,0,12,11,0.0,0,12,11,0.0,0,12,11,0.0
1,9,9,0,0.761157,0.864383,0.533333,9,0,0,1.0,8,1,1,0.888889,8,1,1,0.888889,8,1,1,0.888889,8,1,1,0.888889,5,4,4,0.555556,2,7,7,0.222222,0,9,9,0.0,0,9,9,0.0,0,9,9,0.0
2,52,27,25,0.701726,0.824722,0.131646,12,15,40,0.303797,12,15,40,0.303797,8,19,44,0.202532,5,22,47,0.126582,4,23,48,0.101266,3,24,49,0.075949,3,24,49,0.075949,3,24,49,0.075949,2,25,50,0.050633,0,27,52,0.0
3,9,9,0,0.808459,0.894086,0.677778,9,0,0,1.0,9,0,0,1.0,9,0,0,1.0,9,0,0,1.0,9,0,0,1.0,8,1,1,0.888889,4,5,5,0.444444,3,6,6,0.333333,1,8,8,0.111111,0,9,9,0.0
4,65,53,12,0.706897,0.828283,0.369492,44,9,21,0.745763,44,9,21,0.745763,41,12,24,0.694915,31,22,34,0.525424,24,29,41,0.40678,15,38,50,0.254237,13,40,52,0.220339,6,47,59,0.101695,0,53,65,0.0,0,53,65,0.0
5,18,13,5,0.885094,0.939045,0.554839,12,1,6,0.774194,12,1,6,0.774194,11,2,7,0.709677,10,3,8,0.645161,10,3,8,0.645161,10,3,8,0.645161,8,5,10,0.516129,8,5,10,0.516129,4,9,14,0.258065,1,12,17,0.064516
6,58,49,9,0.84188,0.914153,0.564486,41,8,17,0.766355,39,10,19,0.728972,39,10,19,0.728972,37,12,21,0.691589,36,13,22,0.672897,36,13,22,0.672897,36,13,22,0.672897,25,24,33,0.46729,12,37,46,0.224299,1,48,57,0.018692
7,11,10,1,0.740187,0.850698,0.457143,8,2,3,0.761905,7,3,4,0.666667,7,3,4,0.666667,7,3,4,0.666667,7,3,4,0.666667,6,4,5,0.571429,3,7,8,0.285714,2,8,9,0.190476,1,9,10,0.095238,0,10,11,0.0
8,12,8,4,0.73087,0.844512,0.27,5,3,7,0.5,5,3,7,0.5,5,3,7,0.5,5,3,7,0.5,3,5,9,0.3,3,5,9,0.3,1,7,11,0.1,0,8,12,0.0,0,8,12,0.0,0,8,12,0.0
9,19,19,0,0.740161,0.850681,0.363158,13,6,6,0.684211,13,6,6,0.684211,13,6,6,0.684211,11,8,8,0.578947,10,9,9,0.526316,7,12,12,0.368421,1,18,18,0.052632,1,18,18,0.052632,0,19,19,0.0,0,19,19,0.0
10,43,39,4,0.740796,0.8511,0.473171,36,3,7,0.878049,34,5,9,0.829268,33,6,10,0.804878,32,7,11,0.780488,28,11,15,0.682927,17,22,26,0.414634,9,30,34,0.219512,3,36,40,0.073171,1,38,42,0.02439,1,38,42,0.02439
11,7,5,2,0.841684,0.914037,0.683333,5,0,2,0.833333,5,0,2,0.833333,5,0,2,0.833333,5,0,2,0.833333,5,0,2,0.833333,5,0,2,0.833333,5,0,2,0.833333,4,1,3,0.666667,2,3,5,0.333333,0,5,7,0.0
12,77,36,41,0.536181,0.69807,0.072566,9,27,68,0.159292,8,28,69,0.141593,8,28,69,0.141593,6,30,71,0.106195,4,32,73,0.070796,4,32,73,0.070796,2,34,75,0.035398,0,36,77,0.0,0,36,77,0.0,0,36,77,0.0
13,37,32,5,0.801289,0.889684,0.544928,29,3,8,0.84058,29,3,8,0.84058,28,4,9,0.811594,28,4,9,0.811594,28,4,9,0.811594,26,6,11,0.753623,13,19,24,0.376812,6,26,31,0.173913,1,31,36,0.028986,0,32,37,0.0
