idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
23,15,3,12,0.857664,0.923379,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222,2,1,13,0.222222
24,14,5,9,0.822558,0.902642,0.357895,4,1,10,0.421053,4,1,10,0.421053,4,1,10,0.421053,4,1,10,0.421053,3,2,11,0.315789,3,2,11,0.315789,3,2,11,0.315789,3,2,11,0.315789,3,2,11,0.315789,3,2,11,0.315789
25,10,3,7,0.874725,0.933177,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846,1,2,9,0.153846
26,16,1,15,0.886275,0.939709,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0
27,10,6,4,0.763919,0.866161,0.425,5,1,5,0.625,5,1,5,0.625,3,3,7,0.375,3,3,7,0.375,3,3,7,0.375,3,3,7,0.375,3,3,7,0.375,3,3,7,0.375,3,3,7,0.375,3,3,7,0.375
28,8,8,0,0.774495,0.872919,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0,8,0,0,1.0
29,20,3,17,0.859226,0.924284,0.086957,1,2,19,0.086957,1,2,19,0.086957,1,2,19,0.086957,1,2,19,0.086957,1,2,19,0.086957,1,2,19,0.086957,1,2,19,0.086957,1,2,19,0.086957,1,2,19,0.086957,1,2,19,0.086957
30,12,4,8,0.853324,0.920858,0.25,2,2,10,0.25,2,2,10,0.25,2,2,10,0.25,2,2,10,0.25,2,2,10,0.25,2,2,10,0.25,2,2,10,0.25,2,2,10,0.25,2,2,10,0.25,2,2,10,0.25
31,16,4,12,0.828091,0.905963,0.26,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,3,1,13,0.3,2,2,14,0.2,2,2,14,0.2,2,2,14,0.2,2,2,14,0.2
32,8,5,3,0.777899,0.875077,0.538462,5,0,3,0.769231,5,0,3,0.769231,4,1,4,0.615385,3,2,5,0.461538,3,2,5,0.461538,3,2,5,0.461538,3,2,5,0.461538,3,2,5,0.461538,3,2,5,0.461538,3,2,5,0.461538
33,20,2,18,0.890709,0.942196,0.0,0,2,20,0.0,0,2,20,0.0,0,2,20,0.0,0,2,20,0.0,0,2,20,0.0,0,2,20,0.0,0,2,20,0.0,0,2,20,0.0,0,2,20,0.0,0,2,20,0.0
34,5,3,2,0.823587,0.90326,0.525,3,0,2,0.75,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5
35,11,4,7,0.823256,0.903061,0.173333,2,2,9,0.266667,2,2,9,0.266667,2,2,9,0.266667,1,3,10,0.133333,1,3,10,0.133333,1,3,10,0.133333,1,3,10,0.133333,1,3,10,0.133333,1,3,10,0.133333,1,3,10,0.133333
36,17,4,13,0.849085,0.918384,0.057143,2,2,15,0.190476,2,2,15,0.190476,1,3,16,0.095238,1,3,16,0.095238,0,4,17,0.0,0,4,17,0.0,0,4,17,0.0,0,4,17,0.0,0,4,17,0.0,0,4,17,0.0
37,19,3,16,0.867069,0.928803,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909,1,2,18,0.090909
38,8,3,5,0.819956,0.901072,0.218182,2,1,6,0.363636,2,1,6,0.363636,1,2,7,0.181818,1,2,7,0.181818,1,2,7,0.181818,1,2,7,0.181818,1,2,7,0.181818,1,2,7,0.181818,1,2,7,0.181818,1,2,7,0.181818
39,6,3,3,0.80937,0.894643,0.511111,3,0,3,0.666667,3,0,3,0.666667,3,0,3,0.666667,2,1,4,0.444444,2,1,4,0.444444,2,1,4,0.444444,2,1,4,0.444444,2,1,4,0.444444,2,1,4,0.444444,2,1,4,0.444444
40,16,1,15,0.885967,0.939536,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0,0,1,16,0.0
41,9,4,5,0.844772,0.915855,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538,3,1,6,0.461538
42,10,5,5,0.824402,0.90375,0.32,4,1,6,0.533333,4,1,6,0.533333,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667
43,6,5,1,0.772206,0.871463,0.781818,5,0,1,0.909091,5,0,1,0.909091,5,0,1,0.909091,4,1,2,0.727273,4,1,2,0.727273,4,1,2,0.727273,4,1,2,0.727273,4,1,2,0.727273,4,1,2,0.727273,4,1,2,0.727273
44,18,5,13,0.863054,0.926494,0.217391,4,1,14,0.347826,4,1,14,0.347826,3,2,15,0.26087,3,2,15,0.26087,3,2,15,0.26087,3,2,15,0.26087,2,3,16,0.173913,1,4,17,0.086957,1,4,17,0.086957,1,4,17,0.086957
45,19,4,15,0.830247,0.907251,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913,2,2,17,0.173913
46,6,5,1,0.842116,0.914292,0.8,5,0,1,0.909091,5,0,1,0.909091,5,0,1,0.909091,5,0,1,0.909091,4,1,2,0.727273,4,1,2,0.727273,4,1,2,0.727273,4,1,2,0.727273,4,1,2,0.727273,4,1,2,0.727273
47,12,2,10,0.85413,0.921327,0.142857,1,1,11,0.142857,1,1,11,0.142857,1,1,11,0.142857,1,1,11,0.142857,1,1,11,0.142857,1,1,11,0.142857,1,1,11,0.142857,1,1,11,0.142857,1,1,11,0.142857,1,1,11,0.142857
48,13,4,9,0.824541,0.903834,0.129412,2,2,11,0.235294,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647,1,3,12,0.117647
49,5,3,2,0.792967,0.884531,0.525,3,0,2,0.75,3,0,2,0.75,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,2,1,3,0.5,1,2,4,0.25
50,10,5,5,0.772966,0.871947,0.386667,4,1,6,0.533333,4,1,6,0.533333,4,1,6,0.533333,3,2,7,0.4,3,2,7,0.4,3,2,7,0.4,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667,2,3,8,0.266667
51,20,4,16,0.884938,0.938957,0.25,3,1,17,0.25,3,1,17,0.25,3,1,17,0.25,3,1,17,0.25,3,1,17,0.25,3,1,17,0.25,3,1,17,0.25,3,1,17,0.25,3,1,17,0.25,3,1,17,0.25
